GROUP,PCT_WFH,COLOR
Metropolitan central,0.3218877901950398,#d9d9d9
Metropolitan noncentral,0.3191868715603267,#959595
Rural,0.14484371615967306,#515151
Bronx,0.23251750180668546,#e1f3b2
Brooklyn,0.33793893855118967,#97d6b9
Manhattan,0.35706459685005915,#40b5c4
Queens,0.20733148297232504,#1f80b8
Staten Island,0.2627322685494827,#24419a
