GROUP,PCT_WFH,COLOR
"A: 100,000 - 249,999",0.27428329763071013,#ededed
"B: 250,000 - 499,999",0.26257219655780006,#d1d1d1
"C: 500,000 - 999,999",0.2895169216507539,#adadad
"D: 1,000,000 - 2,499,999",0.3112819999156472,#828282
"E: 2,500,000 - 4,999,999",0.35270700545531997,#5c5c5c
"F: 5,000,000 +",0.3322194789392558,#2b2b2b
NYC,0.2910612764911955,#40b5c4
