neighborhood,area,n_restaurant,n_pizzeria,n_restaurant_per_km2,n_pizzeria_per_km2,rating_restaurant,rating_pizzeria,rating_pizzeria_unweighted,total_reviews_restaurant,median_reviews_restaurant,median_reviews_pizzeria,pizzeria_pct_of_nbhd,pizzeria_pct_delta,top_cuisine,top_pct_of_cuisine,top_pct_of_neighborhood,top_food_quotient
Lower East Side,3.209333696806893,287,35,89.4,10.9,3.9190587250328908,3.938897555902236,3.642857142857143,83610,70.0,65.0,0.12195121951219512,0.04503519129602929,ramen,0.09722222222222222,0.02527075812274368,2.2912154031287604
Midtown,6.200553928164083,864,57,139.3,9.2,3.769458224188168,3.7548853016142734,3.6315789473684212,312657,178.5,150.0,0.06597222222222222,-0.010943805993943609,korean,0.5728155339805825,0.0695754716981132,4.409598827624107
Morningside Heights,2.4899650085291647,72,3,28.9,1.2,3.4745869776482023,3.333000997008973,3.3333333333333335,10290,47.5,335.0,0.041666666666666664,-0.03524936154949917,foodtrucks,0.050505050505050504,0.07042253521126761,4.6436192915066155
Murray Hill,1.210702773996097,148,8,122.2,6.6,3.7385150158143614,3.264040561622465,3.1875,31933,120.5,129.0,0.05405405405405406,-0.022861974162111776,bagels,0.1,0.034013605442176874,4.440816326530613
NoHo,0.30696011053156347,32,2,104.2,6.5,3.8778296619632524,4.066831683168317,4.25,9851,187.5,101.0,0.0625,-0.014416028216165833,newamerican,0.014245014245014245,0.15625,2.905982905982906
Nolita,0.2690780619141746,53,5,197.0,18.6,3.963087467362924,4.160353911919674,4.1,30640,245.0,342.0,0.09433962264150944,0.017423594425343608,italian,0.017786561264822136,0.17307692307692307,2.232897537245363
SoHo,1.5911543411991427,210,7,132.0,4.4,3.860719679649721,3.7943840579710146,3.9285714285714284,72171,158.5,314.0,0.03333333333333333,-0.0435826948828325,french,0.0873015873015873,0.05339805825242718,2.7665279704114654
Stuyvesant Town,0.9085406651684531,11,0,12.1,0.0,3.8623737373737375,,,1584,19.0,,0.0,-0.07691602821616583,,,,
Theater District,0.9977836599821444,226,21,226.5,21.0,3.6983396436138802,3.57653791130186,3.3095238095238093,86367,189.0,65.0,0.09292035398230089,0.016004325766135058,tradamerican,0.11413043478260869,0.09375,3.3260869565217392
Tribeca,1.6047032098220508,182,14,113.4,8.7,3.7382465256041066,3.5849212924606464,3.142857142857143,31948,69.5,34.0,0.07692307692307693,7.048706911094715e-06,tradamerican,0.05434782608695652,0.055865921787709494,1.9820257469030846
Two Bridges,0.5703078734966988,14,1,24.5,1.8,4.08587786259542,4.5,4.5,524,16.0,6.0,0.07142857142857142,-0.005487456787594408,chinese,0.014619883040935672,0.35714285714285715,6.81704260651629
Upper East Side,7.914750706826448,460,38,58.1,4.8,3.766890524680893,3.4845600676818953,3.263157894736842,91427,117.0,87.5,0.08260869565217391,0.005692667436008075,bagels,0.16,0.017897091722595078,2.3366442953020137
Upper West Side,8.808293127618803,289,27,32.8,3.1,3.7154785867980844,3.5038768529076396,3.2962962962962963,72035,142.0,148.0,0.09342560553633218,0.01650957732016635,kosher,0.36363636363636365,0.028070175438596492,8.329186602870813
Washington Heights,7.846301087608146,167,20,21.3,2.5,3.637524883875249,3.5315656565656566,3.275,12056,21.0,18.0,0.11976047904191617,0.042844450825750335,dominican,0.32,0.04878048780487805,12.737560975609757
West Village,2.3205211978860762,349,27,150.4,11.6,3.8811780410478893,3.9827815119077257,3.7962962962962963,119860,176.0,51.0,0.07736389684813753,0.00044786863197170124,french,0.12698412698412698,0.047337278106508875,2.4525218371372217
